name,fmisid,lpnn,wmo,latitude,longitude,altitude,group,start
Rauma Kylmäpihlaja,101061,1018,2761,61.14,21.3,4,sää,1990
Rauma Pyynpää,105427,1023,null,61.14,21.52,15,sää,2018
Rautavaara Ylä-Luosta,101603,3716,2789,63.38,28.66,164,sää,1976
Rovaniemi Apukka,101933,7502,2813,66.58,26.01,106,sää,1939
Rovaniemi lentoasema,101920,7401,2845,66.56,25.84,189,sää,1951
Rovaniemi lentoasema AWOS,137190,null,null,66.57,25.85,187,sää,1999
Rovaniemi rautatieasema,101928,7409,2847,66.5,25.71,85,sää,1997
Salla Naruska,101966,7804,2745,67.16,29.18,213,sää,1999
Salla Värriötunturi,102012,8803,2819,67.75,29.61,360,sää,1971
Salla kirkonkylä,101959,7709,2849,66.82,28.69,218,sää,1960
Salo Kiikala lentokenttä,100967,217,2777,60.46,23.65,117,sää,2002
Salo Kärkkä,100955,205,2756,60.37,23.11,2,sää,1936
Savonlinna Punkaharju Laukansaari,101441,2801,2778,61.8,29.32,79,sää,1904
Savonlinna lentoasema,101430,2710,2948,61.95,28.93,92,sää,1974
Savukoski kirkonkylä,101952,7702,2815,67.29,28.18,180,sää,1963
Seinäjoki Pelmaa,101486,3101,2833,62.94,22.49,26,sää,1927
Siikajoki Ruukki,101787,5402,2803,64.68,25.09,48,sää,1911
Siilinjärvi Kuopio lentoasema,101570,3601,2917,63,27.81,94,sää,1945
Sipoo Eestiluoto,101029,423,2930,60.12,25.22,13,sää,2008
Sipoo Itätoukki,105392,425,null,60.1,25.19,5,sää,2017
Sodankylä Lokka,102000,8601,2719,67.82,27.75,240,sää,1958
Sodankylä Tähtelä,101932,7501,2836,67.37,26.63,179,sää,1891
Sodankylä Vuotso,102001,8602,2816,68.08,27.19,247,sää,1958
Somero Salkola,101128,1227,2949,60.65,23.81,142,sää,2010
Sotkamo Kuolaniemi,101756,4714,2739,64.11,28.34,161,sää,1989
Sotkamo Tuhkakylä,107113,null,null,64,28.06,212,sää,2019
Suomussalmi Pesiö,101826,5711,2889,64.93,28.75,222,sää,1981
Taivalkoski kirkonkylä,101885,6707,2804,65.57,28.22,197,sää,2002
Tampere Härmälä,101124,1222,2763,61.47,23.75,85,sää,1948
Tampere Siilinkari,101311,2219,2943,61.52,23.75,96,sää,1989
Tampere Tampella,151049,2223,2744,61.5,23.76,91,sää,2012
Tervola Loue,107201,6313,null,66.15,24.99,38,sää,2020
Tohmajärvi Kemie,101459,2902,2832,62.24,30.35,91,sää,1925
Toholampi Laitala,101689,4314,2737,63.82,24.16,84,sää,1988
Tornio Torppi,101851,6312,2880,65.85,24.17,8,sää,2008
Turku Artukainen,100949,118,2773,60.45,22.18,8,sää,2003
Turku Rajakari,100947,116,2747,60.38,22.1,3,sää,1991
Turku lentoasema,101065,1101,2972,60.52,22.28,45,sää,1955
Utsjoki Kevo,102035,9603,2805,69.76,27.01,107,sää,1961
Utsjoki Kevo Kevojärvi,126737,9618,2890,69.76,27.01,76,sää,2010
Utsjoki Nuorgam,102036,9604,2825,70.08,27.9,22,sää,1929
Vaala Pelso,101800,5502,2714,64.5,26.42,113,sää,1943
Vaasa Klemettilä,101485,3024,2957,63.1,21.64,7,sää,2010
Vaasa lentoasema,101462,3001,2911,63.06,21.75,4,sää,1946
Vantaa Helsinki-Vantaan lentoasema,100968,301,2974,60.33,24.96,51,sää,1952
Varkaus Kosulanniemi,101421,2625,2850,62.32,27.91,83,sää,2007
Vesanto kirkonkylä,101555,3502,2710,62.92,26.42,121,sää,1914
Vieremä Kaarakkala,101726,4602,2834,63.84,27.22,206,sää,1937
Vihti Maasoja,100976,309,2758,60.42,24.4,39,sää,1938
Viitasaari Haapaniemi,101537,3401,2915,63.08,25.86,130,sää,1969
Virolahti Koivuniemi,101231,1612,2831,60.53,27.67,5,sää,1976
Virrat Äijänneva,101310,2218,2735,62.33,23.54,138,sää,1986
Ylitornio Meltosjärvi,101908,7301,2812,66.53,24.65,93,sää,1937
Ylivieska lentokenttä,101690,4315,2755,64.05,24.72,76,sää,2000
Ähtäri Inha,101520,3301,2924,62.55,24.14,161,sää,1912
